address,score,scorePercentage,distributedTokens,maxBorrow
0xDb951423188b9cBE6293937eDB2303dcECFE559C,9549757643.950000762939,0.000724524411,362.262205576863376229,20111.000000000000
0x975793c7A6a077221aCa4E4FB9B7f9A46378463a,104223972076942.109375000000,7.907301400993,3953650.700496473262595486,25000000.000000000000
0x0917e9E60fAF685e399efF18a6739637Edd98493,17010042654103.648437500000,1.290523969001,645261.984500302489948235,3222318.000000000000
0x52bEaF46D98a6caA234d5D6FD3870fD8a7727b74,116529700234.080795288086,0.008840916764,4420.458381868215388168,60000.000000000000
0x790a6c3C8F66BF7b10Ef183eB587842C12b3Af7C,89520046897.500000000000,0.006791738773,3395.869386588842145017,7705.000000000000
0x06CE1F5D0ee2de871d962ed40Df5e9aE81faE604,528086500000.000000000000,0.040065054498,20032.527249166688110145,50000.000000000000
0xF25C2b2248894884335AEa8BBDe39605Cd71E7B8,71313256445232.156250000000,5.410419516371,2705209.758185306986931794,12000000.000000000000
0x541a5f29D2bb51B19b0f81C9871768a5Dd507D28,2323218500000.000000000000,0.176258767861,88129.383930507898613619,200000.000000000000
0xdeC8e4316051565c03b3444B85641Ae7921E37A6,613214976000.000000000000,0.046523612008,23261.806003973017052059,88000.000000000000
0x3f13FCF31D1ed321E91ebdbD74b4E815f7130b73,900660675000.000000000000,0.068331644585,34165.82229273113874488,350000.000000000000
0xAbd263D64781A01fe3D9b17F12FC95f6FcCB2943,252569420661.960205078125,0.019162026682,9581.013341028338625191,100000.000000000000
0xA60196D9F91F916F767124E5079D5DAC0B955118,154972884036.856384277344,0.011757537912,5878.768956127972927729,950000.000000000000
0x7738e7eFA86078F946beFb4ed7ca2Bf8B36F4E31,12667382364367.500000000000,0.961053472830,480526.736414972722133248,2399955.000000000000
0xd7Ce18835F371cF04A9aD8B61e61226875bCC2D8,503386050000.000000000000,0.038191071968,19095.535984115073798228,200000.000000000000
0xf0d4d20e4a0105c7E95B10f0B9d1b295c235EBc7,71333633205000.000000000000,5.411965467632,2705982.733815812696506695,10000000.000000000000
0xC55AE491E46Ce0A31e600033f430Ca177faF305a,796094295000.000000000000,0.060398365258,30199.182629159510626633,130000.000000000000
0xB327deb67A7725f277bAE3C70A50C69255283908,2571246100000.000000000000,0.195076214077,97538.107038455963280881,400000.000000000000
0xe779927f76fcf902cE7445e5602401BaE2E46efE,5363948610000.000000000000,0.406953961872,203476.980935802714795247,1020000.000000000000
0xa806a4C9660E29c29465743E554E68b08a07D113,2316799000000.000000000000,0.175771730951,87885.865475338100570451,250000.000000000000
0x55dD25A28B45a920Cbe53254Fb34CBAf54b964Fd,50219784132.392044067383,0.003810092453,1905.046226478829675137,20000.000000000000
0x6FD397633EC8d9c07422f0c70C5494fBe86E7Ad7,2204294030000.000000000000,0.167236163853,83618.081926257257241127,320000.000000000000
0xEB27A4A1A776985a5F2926400529f6d49DE38212,395720492431.250000000000,0.030022663134,15011.331567238843987037,80000.000000000000
0xd768DAFf5AeFFC055D334B5F4dB1bf401A84d12e,2266261900000.000000000000,0.171937564265,85968.782132279980672118,275000.000000000000
0xE0405e62f991E166A4783324cAc2806D8e50Ce2C,7381051000000.000000000000,0.559988203770,279994.101884803024584193,1400000.000000000000
0x587B938A8B21ea570325E91BDd01B161783A75e8,10257641904221.142578125000,0.778230426108,389115.213054119190249649,5931710.000000000000
0xA1BA71A032bD935274223e86c6BFBaB6B815B465,1598542390000.000000000000,0.121278782876,60639.391437999348818758,700000.000000000000
0x3Fb22974f6878655dbc9C20cCfb0A942CdeD9CEc,7719889810001.574218750000,0.585695347181,292847.673590256107878101,3069928.533707707655
0x0A338782562E1740b9468F0855dD4C51F29dEfDE,75345821500000.000000000000,5.716363596909,2858181.798454607921416711,16000000.000000000000
0x43C89407960a524cb8C6Ce09D647423FCeCC40C6,113953500000.000000000000,0.008645464688,4322.732343826089463675,10000.000000000000
0x43c21cC46637Ae611d2b3BEEaD90A73aE56362b3,2939746949254.909667968750,0.223033767637,111516.883818472199220953,350000.000000000000
0x6b1306e7A950Ece88Fc8B74138B0BdbE07f3719c,5539381737275.730468750000,0.420263784799,210131.892399280001883739,650000.000000000000
0x2b0D1140d264dCdf69f77Dc7fc23A36a5A9FcA1d,113932475000.000000000000,0.008643869555,4321.934777735280988894,10000.000000000000
0x2B6936778A7F8F6f0121F0982b1c2e04219243e3,2278607500000.000000000000,0.172874204638,86437.102319232898924587,200000.000000000000
0xA9F51db4725f0EAf9d530Bae8db0fd858D505547,3279896235000.000000000000,0.248840334688,124420.167343942189811492,601000.000000000000
0xD7433AaCD0BFb75865C6fee509A1862360E60257,1435597460000.000000000000,0.108916418944,54458.209471903721393252,814000.000000000000
0xb8EBD91544abF02e9d008f0a715fDC98C4D91C5b,5771613605000.000000000000,0.437882834777,218941.417388673412422604,680000.000000000000
